"CodigocompletoDane","MPIO","ano","poblacion","codigoanodane","cienmilhabitantes"
"15215000","Corrales","2005",2544,"200515215000",0.002544
"15218000","Covarachía","2005",3324,"200515218000",0.003324
"15223000","Cubará","2005",6614,"200515223000",0.006614
"15224000","Cucaita","2005",4568,"200515224000",0.004568
"15226000","Cuítiva","2005",2011,"200515226000",0.002011
"15232000","Chíquiza","2005",6073,"200515232000",0.006073
"15236000","Chivor","2005",2232,"200515236000",0.002232
"15238000","Duitama","2005",107406,"200515238000",0.107406
"15244000","El Cocuy","2005",5582,"200515244000",0.005582
"15248000","El Espino","2005",3997,"200515248000",0.003997
"15272000","Firavitoba","2005",6316,"200515272000",0.006316
"15276000","Floresta","2005",4884,"200515276000",0.004884
"15293000","Gachantivá","2005",3085,"200515293000",0.003085
"15296000","Gameza","2005",5669,"200515296000",0.005669
"15299000","Garagoa","2005",16520,"200515299000",0.01652
"15317000","Guacamayas","2005",2132,"200515317000",0.002132
"15322000","Guateque","2005",10171,"200515322000",0.010171
"15325000","Guayatá","2005",6368,"200515325000",0.006368
"15332000","Güicán","2005",7869,"200515332000",0.007869
"15362000","Iza","2005",2116,"200515362000",0.002116
"15367000","Jenesano","2005",7436,"200515367000",0.007436
"15368000","Jericó","2005",4716,"200515368000",0.004716
"15377000","Labranzagrande","2005",5345,"200515377000",0.005345
"15380000","La Capilla","2005",3178,"200515380000",0.003178
"15401000","La Victoria","2005",1674,"200515401000",0.001674
"15403000","La Uvita","2005",3621,"200515403000",0.003621
"15407000","Villa de Leyva","2005",12032,"200515407000",0.012032
"15425000","Macanal","2005",4705,"200515425000",0.004705
"15442000","Maripí","2005",7914,"200515442000",0.007914
"15455000","Miraflores","2005",9661,"200515455000",0.009661
"15464000","Mongua","2005",5264,"200515464000",0.005264
"15466000","Monguí","2005",5002,"200515466000",0.005002
"15469000","Moniquirá","2005",21852,"200515469000",0.021852
"15476000","Motavita","2005",6772,"200515476000",0.006772
"15480000","Muzo","2005",10237,"200515480000",0.010237
"15491000","Nobsa","2005",15194,"200515491000",0.015194
"15494000","Nuevo Colón","2005",6075,"200515494000",0.006075
"15500000","Oicatá","2005",2822,"200515500000",0.002822
"15507000","Otanche","2005",10463,"200515507000",0.010463
"15511000","Pachavita","2005",3102,"200515511000",0.003102
"15514000","Páez","2005",3369,"200515514000",0.003369
"15516000","Paipa","2005",27766,"200515516000",0.027766
"15518000","Pajarito","2005",2410,"200515518000",0.00241
"15522000","Panqueba","2005",1859,"200515522000",0.001859
"15531000","Pauna","2005",10338,"200515531000",0.010338
"15533000","Paya","2005",2648,"200515533000",0.002648
"15537000","Paz de Río","2005",5258,"200515537000",0.005258
"15542000","Pesca","2005",9762,"200515542000",0.009762
"15550000","Pisba","2005",1533,"200515550000",0.001533
"15572000","Puerto Boyacá","2005",50301,"200515572000",0.050301
"15580000","Quípama","2005",8793,"200515580000",0.008793
"15599000","Ramiriquí","2005",10789,"200515599000",0.010789
"15600000","Ráquira","2005",12522,"200515600000",0.012522
"15621000","Rondón","2005",3011,"200515621000",0.003011
"15632000","Saboyá","2005",12957,"200515632000",0.012957
"15638000","Sáchica","2005",3868,"200515638000",0.003868
"15646000","Samacá","2005",17614,"200515646000",0.017614
"15660000","San Eduardo","2005",1924,"200515660000",0.001924
"15664000","San José de Pare","2005",5719,"200515664000",0.005719
"15667000","San Luis de Gaceno","2005",6383,"200515667000",0.006383
"15673000","San Mateo","2005",4790,"200515673000",0.00479
"15676000","San Miguel de Sema","2005",4612,"200515676000",0.004612
"15681000","San Pablo de Borbur","2005",10924,"200515681000",0.010924
"15686000","Santana","2005",7853,"200515686000",0.007853
"15690000","Santa María","2005",4635,"200515690000",0.004635
"15693000","Santa Rosa de Viterbo","2005",13249,"200515693000",0.013249
"15696000","Santa Sofía","2005",3121,"200515696000",0.003121
"15720000","Sativanorte","2005",2775,"200515720000",0.002775
"15723000","Sativasur","2005",1351,"200515723000",0.001351
"15740000","Siachoque","2005",8894,"200515740000",0.008894
"15753000","Soatá","2005",9313,"200515753000",0.009313
"15755000","Socotá","2005",10295,"200515755000",0.010295
"15757000","Socha","2005",7593,"200515757000",0.007593
"15759000","Sogamoso","2005",117094,"200515759000",0.117094
"15761000","Somondoco","2005",4359,"200515761000",0.004359
"15762000","Sora","2005",2976,"200515762000",0.002976
"15763000","Sotaquirá","2005",8966,"200515763000",0.008966
"15764000","Soracá","2005",5945,"200515764000",0.005945
"15774000","Susacón","2005",3698,"200515774000",0.003698
"15776000","Sutamarchán","2005",6120,"200515776000",0.00612
"15778000","Sutatenza","2005",4566,"200515778000",0.004566
"15790000","Tasco","2005",6925,"200515790000",0.006925
"15798000","Tenza","2005",4651,"200515798000",0.004651
"15804000","Tibaná","2005",9711,"200515804000",0.009711
"15806000","Tibasosa","2005",12626,"200515806000",0.012626
"15808000","Tinjacá","2005",2939,"200515808000",0.002939
"15810000","Tipacoque","2005",3855,"200515810000",0.003855
"15814000","Toca","2005",10561,"200515814000",0.010561
"15816000","Togüí","2005",5229,"200515816000",0.005229
"15820000","Tópaga","2005",3683,"200515820000",0.003683
"15822000","Tota","2005",5676,"200515822000",0.005676
"15832000","Tununguá","2005",1620,"200515832000",0.00162
"15835000","Turmequé","2005",7582,"200515835000",0.007582
"15837000","Tuta","2005",8984,"200515837000",0.008984
"15839000","Tutazá","2005",2254,"200515839000",0.002254
"15842000","Umbita","2005",10105,"200515842000",0.010105
"15861000","Ventaquemada","2005",14404,"200515861000",0.014404
"15879000","Viracachá","2005",3477,"200515879000",0.003477
"15897000","Zetaquira","2005",5171,"200515897000",0.005171
"17001000","Manizales","2005",379972,"200517001000",0.379972
"17013000","Aguadas","2005",24308,"200517013000",0.024308
"17042000","Anserma","2005",35097,"200517042000",0.035097
"17050000","Aranzazu","2005",12815,"200517050000",0.012815
"17088000","Belalcázar","2005",11872,"200517088000",0.011872
"17174000","Chinchiná","2005",53496,"200517174000",0.053496
"17272000","Filadelfia","2005",12737,"200517272000",0.012737
"17380000","La Dorada","2005",72925,"200517380000",0.072925
"17388000","La Merced","2005",6752,"200517388000",0.006752
"17433000","Manzanares","2005",25104,"200517433000",0.025104
"17442000","Marmato","2005",8455,"200517442000",0.008455
"17444000","Marquetalia","2005",14798,"200517444000",0.014798
"17446000","Marulanda","2005",3489,"200517446000",0.003489
"17486000","Neira","2005",28140,"200517486000",0.02814
"17495000","Norcasia","2005",6903,"200517495000",0.006903
"17513000","Pácora","2005",15196,"200517513000",0.015196
"17524000","Palestina","2005",18037,"200517524000",0.018037
"17541000","Pensilvania","2005",26426,"200517541000",0.026426
"17614000","Riosucio","2005",54537,"200517614000",0.054537
"17616000","Risaralda","2005",10679,"200517616000",0.010679
"17653000","Salamina","2005",20288,"200517653000",0.020288
"17662000","Samaná","2005",25649,"200517662000",0.025649
"17665000","San José","2005",7572,"200517665000",0.007572
"17777000","Supía","2005",24847,"200517777000",0.024847
"17867000","Victoria","2005",9165,"200517867000",0.009165
"17873000","Villamaría","2005",46322,"200517873000",0.046322
"17877000","Viterbo","2005",13159,"200517877000",0.013159
"18001000","Florencia","2005",143871,"200518001000",0.143871
"18029000","Albania","2005",6394,"200518029000",0.006394
"18094000","Belén de Los Andaquies","2005",11081,"200518094000",0.011081
"18150000","Cartagena del Chairá","2005",28678,"200518150000",0.028678
"18205000","Curillo","2005",11121,"200518205000",0.011121
"18247000","El Doncello","2005",21547,"200518247000",0.021547
"18256000","El Paujil","2005",17634,"200518256000",0.017634
"18410000","La Montañita","2005",22181,"200518410000",0.022181
"18460000","Milán","2005",11487,"200518460000",0.011487
"18479000","Morelia","2005",3718,"200518479000",0.003718
"18592000","Puerto Rico","2005",32408,"200518592000",0.032408
"18610000","San José del Fragua","2005",13882,"200518610000",0.013882
"18753000","San Vicente del Caguán","2005",56674,"200518753000",0.056674
"18756000","Solano","2005",19427,"200518756000",0.019427
"18785000","Solita","2005",9134,"200518785000",0.009134
"18860000","Valparaíso","2005",11100,"200518860000",0.0111
"19001000","Popayán","2005",257512,"200519001000",0.257512
"19022000","Almaguer","2005",20463,"200519022000",0.020463
"19050000","Argelia","2005",24538,"200519050000",0.024538
"19075000","Balboa","2005",23602,"200519075000",0.023602
"19100000","Bolívar","2005",43978,"200519100000",0.043978
"19110000","Buenos Aires","2005",26961,"200519110000",0.026961
"19130000","Cajibío","2005",34706,"200519130000",0.034706
"19137000","Caldono","2005",30906,"200519137000",0.030906
"19142000","Caloto(1)(3)","2005",36921,"200519142000",0.036921
"19212000","Corinto","2005",28310,"200519212000",0.02831
"19256000","El Tambo","2005",45804,"200519256000",0.045804
"19290000","Florencia","2005",6028,"200519290000",0.006028
"19300000","Guachené (1)","2005",0,"200519300000",0
"19318000","Guapi","2005",28663,"200519318000",0.028663
"19355000","Inzá","2005",26989,"200519355000",0.026989
"19364000","Jambaló","2005",14625,"200519364000",0.014625
"19392000","La Sierra","2005",10937,"200519392000",0.010937
"19397000","La Vega","2005",38435,"200519397000",0.038435
"19418000","López","2005",19326,"200519418000",0.019326
"19450000","Mercaderes","2005",17702,"200519450000",0.017702
"19455000","Miranda","2005",33245,"200519455000",0.033245
"19473000","Morales","2005",24391,"200519473000",0.024391
"19513000","Padilla","2005",8336,"200519513000",0.008336
"19517000","Paez","2005",31800,"200519517000",0.0318
"19532000","Patía","2005",33195,"200519532000",0.033195
"19533000","Piamonte","2005",7083,"200519533000",0.007083
"19548000","Piendamó","2005",35804,"200519548000",0.035804
"19573000","Puerto Tejada","2005",44324,"200519573000",0.044324
"19585000","Puracé","2005",14970,"200519585000",0.01497
"19622000","Rosas","2005",12666,"200519622000",0.012666
"19693000","San Sebastián","2005",12820,"200519693000",0.01282
"19698000","Santander de Quilichao","2005",80282,"200519698000",0.080282
"19701000","Santa Rosa","2005",9579,"200519701000",0.009579
"19743000","Silvia","2005",30960,"200519743000",0.03096
"19760000","Sotara","2005",15696,"200519760000",0.015696
"19780000","Suárez","2005",19244,"200519780000",0.019244
"19785000","Sucre","2005",8955,"200519785000",0.008955
"19807000","Timbío","2005",30028,"200519807000",0.030028
"19809000","Timbiquí","2005",20885,"200519809000",0.020885
"19821000","Toribio","2005",26512,"200519821000",0.026512
"19824000","Totoró","2005",17430,"200519824000",0.01743
"19845000","Villa Rica","2005",14326,"200519845000",0.014326
"20001000","Valledupar","2005",354449,"200520001000",0.354449
"20011000","Aguachica","2005",82335,"200520011000",0.082335
"20013000","Agustín Codazzi","2005",53969,"200520013000",0.053969
"20032000","Astrea","2005",18394,"200520032000",0.018394
"20045000","Becerril","2005",13941,"200520045000",0.013941
"20060000","Bosconia","2005",30885,"200520060000",0.030885
"20175000","Chimichagua","2005",30993,"200520175000",0.030993
"20178000","Chiriguaná","2005",22146,"200520178000",0.022146
"20228000","Curumaní","2005",27560,"200520228000",0.02756
"20238000","El Copey","2005",24971,"200520238000",0.024971
"20250000","El Paso","2005",20808,"200520250000",0.020808
"20295000","Gamarra","2005",14472,"200520295000",0.014472
"20310000","González","2005",9252,"200520310000",0.009252
"20383000","La Gloria","2005",14586,"200520383000",0.014586
"20400000","La Jagua de Ibirico","2005",22082,"200520400000",0.022082
"20443000","Manaure","2005",11317,"200520443000",0.011317
"20517000","Pailitas","2005",15902,"200520517000",0.015902
"20550000","Pelaya","2005",16561,"200520550000",0.016561
"20570000","Pueblo Bello","2005",17228,"200520570000",0.017228
"20614000","Río de Oro","2005",14406,"200520614000",0.014406
"20621000","La Paz","2005",21874,"200520621000",0.021874
"20710000","San Alberto","2005",20018,"200520710000",0.020018
"20750000","San Diego","2005",13772,"200520750000",0.013772
"20770000","San Martín","2005",17312,"200520770000",0.017312
"20787000","Tamalameque","2005",14046,"200520787000",0.014046
"23001000","Montería","2005",378970,"200523001000",0.37897
"23068000","Ayapel","2005",42542,"200523068000",0.042542
"23079000","Buenavista","2005",19011,"200523079000",0.019011
"23090000","Canalete","2005",17315,"200523090000",0.017315
"23162000","Cereté","2005",83917,"200523162000",0.083917
"23168000","Chimá","2005",13639,"200523168000",0.013639
"23182000","Chinú","2005",43274,"200523182000",0.043274
"23189000","Ciénaga de Oro","2005",53145,"200523189000",0.053145
